intent,text,response_template
traffic_prediction,salı akşam trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
greeting,hey dostum,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,salı akşam trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Mecidiyeköy Kadıköy arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent Fatih güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,salı günü akşam üstü trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_status,çevre yolu durumu,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
weather_traffic,fırtınada yol durumu,Hava durumunun trafik etkisini analiz edebilirim.
travel_time,metro süresi,Süre hesaplaması için rotanızı belirtir misiniz?
greeting,merhaba asistan,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
thanks,çok yardımcı oldun,Memnun oldum! Dikkatli sürün.
traffic_prediction,hafta sonu sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu günü gece geç trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı çıkışı Maltepe yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bakırköy Fatih arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş Kadıköy güzergahı,Size en uygun rotayı hesaplayabilirim.
travel_time,köprü geçiş süresi,Süre hesaplaması için rotanızı belirtir misiniz?
route_inquiry,Bakırköy Levent arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartal çıkışı Eminönü yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,salı günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_status,TEM otoyolunda trafik,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
traffic_prediction,pazartesi gece trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Fatih Levent güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta sonu gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
goodbye,iyi yolculuklar,Güvenli yolculuklar dilerim!
traffic_prediction,hafta içi gece geç yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kartal Şişli güzergahı,Size en uygun rotayı hesaplayabilirim.
goodbye,elveda arkadaşım,Güvenli yolculuklar dilerim!
traffic_prediction,pazartesi gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,perşembe günü akşam üstü trafik,Trafik tahmini için lokasyon belirtir misiniz?
greeting,selamlar,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Beşiktaş ile Üsküdar arasında rota,Size en uygun rotayı hesaplayabilirim.
help,özelliklerin neler,"Trafik tahmini, rota planlama, anlık durum kontrolü yapabilirim."
traffic_prediction,çarşamba sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Eminönü Üsküdar arası yol,Size en uygun rotayı hesaplayabilirim.
unclear,garip,Sorunuzu yeniden sorabilir misiniz?
traffic_prediction,çarşamba mesai saati trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Fatih Beylikdüzü arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköyden Maslakye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba günü akşam üstü trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköy Kartal güzergahı,Size en uygun rotayı hesaplayabilirim.
fuel_info,motorin,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
traffic_prediction,salı günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Levent çıkışı Fatih yolu,Size en uygun rotayı hesaplayabilirim.
fuel_info,shell istasyonu,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
greeting,iyi günler arkadaş,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
goodbye,güle güle,Güvenli yolculuklar dilerim!
traffic_prediction,cumartesi akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak çıkışı Beşiktaş yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak ile Üsküdar arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköy Maltepe arası yol,Size en uygun rotayı hesaplayabilirim.
greeting,ne haber,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Kadıköy ile Fatih arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
alternative_route,sakin yol,Alternatif rota seçeneklerini gösterebilirim.
route_inquiry,Bakırköy Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
parking_info,otopark lokasyonu,Park yeri bilgisi için lokasyon belirtir misiniz?
route_inquiry,Maslak ile Beylikdüzü arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksimden İtüye nasıl,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
traffic_prediction,salı gece trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak Bakırköy arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancıden Maslakye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazartesi gece geç yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Taksim Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba sabah erken trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Fatihden Leventye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Leventden Kartalye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta içi akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu mesai saati trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Üsküdarden Eminönüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar Maltepe arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Eminönü Kartal güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe günü sabah trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maltepeden Üsküdarye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta sonu mesai saati yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
fuel_info,petrol ofisi nerede,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
route_inquiry,Eminönü Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih Bakırköy güzergahı,Size en uygun rotayı hesaplayabilirim.
parking_info,açık park alanı,Park yeri bilgisi için lokasyon belirtir misiniz?
route_inquiry,Bostancı Maltepe güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih çıkışı Bostancı yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazar gece trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak Beşiktaş güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksim Maslak güzergahı,Size en uygun rotayı hesaplayabilirim.
fuel_info,petrol ofisi nerede,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
route_inquiry,Eminönüden Mecidiyeköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazar gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Marmaray ile nasıl giderim,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
traffic_prediction,pazar mesai saati durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi günü öğle trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_status,Mecidiyeköy durumu,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
route_inquiry,Beylikdüzü Kartal arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beylikdüzü Şişli güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Eminönü Taksim güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba günü akşam üstü trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Sisli Maslak arası rota,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
greeting,günaydın bot,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Fatih ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancı Taksim arası yol,Size en uygun rotayı hesaplayabilirim.
best_departure_time,ne zaman yola çıkmalı,En iyi çıkış zamanını hesaplayabilirim.
traffic_prediction,hafta sonu sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak Şişli güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli Fatih güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar ile Bakırköy arasında rota,Size en uygun rotayı hesaplayabilirim.
greeting,iyi günler arkadaş,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Mecidiyeköyden Beşiktaşye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartal çıkışı Eminönü yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar Beşiktaş güzergahı,Size en uygun rotayı hesaplayabilirim.
parking_info,kapalı otopark,Park yeri bilgisi için lokasyon belirtir misiniz?
greeting,selamün aleyküm,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Şişli çıkışı Üsküdar yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih çıkışı Maslak yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba akşam durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bakırköyden Taksimye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy Maltepe arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatihden Beşiktaşye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Fatih çıkışı Mecidiyeköy yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak çıkışı Beşiktaş yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksimden Şişliye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta sonu günü gece geç trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Beylikdüzü Beşiktaş güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,salı akşam yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi sabah erken trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bakırköy Şişli arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi akşam üstü yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma günü gece geç trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Şişliden Bakırköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma sabah erken trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Levent çıkışı Bostancı yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma günü sabah trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
parking_info,otopark lokasyonu,Park yeri bilgisi için lokasyon belirtir misiniz?
route_inquiry,Kadıköy çıkışı Levent yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent ile Şişli arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazar akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,salı akşam üstü trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Taksim ile Şişli arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancı çıkışı Beşiktaş yolu,Size en uygun rotayı hesaplayabilirim.
best_departure_time,ideal zaman,En iyi çıkış zamanını hesaplayabilirim.
route_inquiry,Bakırköy ile Mecidiyeköy arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih çıkışı Eminönü yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih çıkışı Taksim yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli ile Levent arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Leventden Bakırköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bakırköy çıkışı Taksim yolu,Size en uygun rotayı hesaplayabilirim.
goodbye,güvenli sürüş,Güvenli yolculuklar dilerim!
traffic_prediction,cumartesi gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Eminönü Levent arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta içi öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Beşiktaş ile Şişli arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli Üsküdar güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Eminönü ile Beşiktaş arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bakırköy Levent arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancı ile Eminönü arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepeden Beylikdüzüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
travel_time,otogar mesafesi,Süre hesaplaması için rotanızı belirtir misiniz?
route_inquiry,Fatih Şişli arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy ile Maltepe arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartal Levent güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba öğle durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak çıkışı Eminönü yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepeden Taksimye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
greeting,hello bot,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Bostancı Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak çıkışı Levent yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,bayram günü trafik,Trafik tahmini için tarih ve saati belirtir misiniz?
traffic_prediction,pazartesi günü öğle trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maltepeden Leventye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Eminönüden Bakırköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
goodbye,iyi günler bot,Güvenli yolculuklar dilerim!
traffic_prediction,mesai saatlerinde yoğunluk,Trafik tahmini için tarih ve saati belirtir misiniz?
route_inquiry,Leventden Mecidiyeköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe öğle durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maltepe çıkışı Mecidiyeköy yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli Bostancı arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,şehir içi rota,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
thanks,harikasın,Teşekkürler! İyi yolculuklar.
route_inquiry,Kartal çıkışı Mecidiyeköy yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe gece geç durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Beylikdüzü Eminönü arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak Maltepe arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksim Kadıköy güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancıden Taksimye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba günü mesai saati trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi gece trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancıden Beşiktaşye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma kaçışı,Trafik tahmini için tarih ve saati belirtir misiniz?
traffic_prediction,çarşamba akşam üstü trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu sabah erken durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
parking_info,Park mevcut,Park yeri müsaitlik durumu için hangi bölge?
route_inquiry,Maltepe ile Bostancı arasında rota,Size en uygun rotayı hesaplayabilirim.
greeting,selam robot,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Beylikdüzü Beşiktaş güzergahı,Size en uygun rotayı hesaplayabilirim.
greeting,selam canım,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
greeting,selam kardeşim,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,perşembe günü sabah erken trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,festival zamanı,Trafik tahmini için tarih ve saati belirtir misiniz?
complaint,kötü çalışıyorsun,"Özür dilerim, nasıl daha iyi olabilirim?"
route_inquiry,Üsküdar Bakırköy arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköy Mecidiyeköy arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar ile Fatih arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepe çıkışı Bostancı yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar ile Kadıköy arasında rota,Size en uygun rotayı hesaplayabilirim.
alternative_route,hızlı alternatif,Alternatif rota seçeneklerini gösterebilirim.
route_inquiry,Kadıköy Levent arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslakden Üsküdarye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,okul çıkışı saatlerinde,Trafik tahmini için tarih ve saati belirtir misiniz?
fuel_info,total istasyon,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
greeting,hey trafik asistanı,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,pazartesi akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,pazartesi sendromu trafik,Trafik tahmini için tarih ve saati belirtir misiniz?
route_inquiry,Beşiktaşden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar Maltepe güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar Şişli güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maslak Levent güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta içi akşam üstü yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kartalden Fatihye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy Eminönü güzergahı,Size en uygun rotayı hesaplayabilirim.
greeting,ne haber,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,pazar günü gece geç trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi günü sabah trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköyden Mecidiyeköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cumartesi akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak çıkışı Maltepe yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beylikdüzünden Şişliye nasıl giderim,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
route_inquiry,Bostancı çıkışı Beşiktaş yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bakırköy ile Taksim arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bostancı ile Beşiktaş arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent Beşiktaş güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepe Fatih güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazar gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
alternative_route,ekonomik yol,Alternatif rota seçeneklerini gösterebilirim.
route_inquiry,Mecidiyeköy ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,okul çıkışı saatlerinde,Trafik tahmini için tarih ve saati belirtir misiniz?
travel_time,taksi ile ne kadar,Süre hesaplaması için rotanızı belirtir misiniz?
route_inquiry,Bosphorus köprüsü rotası,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
goodbye,iyi günler bot,Güvenli yolculuklar dilerim!
route_inquiry,Beylikdüzü Eminönü arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,salı gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
goodbye,allaha ısmarladık,Güvenli yolculuklar dilerim!
traffic_prediction,pazartesi öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Eminönü ile Maslak arasında rota,Size en uygun rotayı hesaplayabilirim.
fuel_info,total istasyon,Yakıt istasyonu bilgisi için bölge belirtir misiniz?
traffic_prediction,çarşamba günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköy çıkışı Bakırköy yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Levent ile Bostancı arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bakırköyden Üsküdara yol,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
traffic_prediction,hafta sonu akşam durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kartalden Leventye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta sonu günü gece trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Maslak Üsküdar arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli çıkışı Mecidiyeköy yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,hafta içi günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Leventden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartalden Eminönüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazartesi sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,perşembe sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
travel_time,Anadolu yakasından Avrupa yakasına kaç dakika,Süre hesaplaması için rotanızı belirtir misiniz?
parking_info,otopark lokasyonu,Park yeri bilgisi için lokasyon belirtir misiniz?
route_inquiry,Maslak Beşiktaş arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Fatih Bakırköy güzergahı,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cumartesi günü öğle trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kartal ile Levent arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bakırköy Kadıköy güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bakırköyden Üsküdara yol,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
greeting,selam kardeşim,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Üsküdarden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Maltepe çıkışı Şişli yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,konser sonrası trafik,Trafik tahmini için tarih ve saati belirtir misiniz?
traffic_prediction,pazartesi gece yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı çıkışı Taksim yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksim ile Bakırköy arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksim Beylikdüzü arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cumartesi sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,pazar mesai saati yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
thanks,çok yardımcı oldun,Memnun oldum! Dikkatli sürün.
route_inquiry,Kadıköy ile Beşiktaş arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,cuma günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,perşembe günü öğle trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi sabah yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta içi sabah erken yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Üsküdar çıkışı Levent yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazartesi gece yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kartal Beşiktaş arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdarden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
greeting,selamlar,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
traffic_prediction,salı gece geç durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
